raster,row_off,col_off,chunk_size,label,source,annotator,model_name,model_prob,timestamp
441643_2023_tava_chm_max_hag_20cm.tif,0,0,128,no_cdw,manual,,,0.10857,2026-02-28T22:11:29
441643_2023_tava_chm_max_hag_20cm.tif,0,320,128,no_cdw,manual,,,0.16586,2026-02-28T22:09:45
441643_2023_tava_chm_max_hag_20cm.tif,0,2496,128,no_cdw,manual,,,0.14042,2026-02-28T22:09:45
441643_2023_tava_chm_max_hag_20cm.tif,0,2752,128,no_cdw,manual,,,0.15378,2026-02-28T22:09:45
441643_2023_tava_chm_max_hag_20cm.tif,0,3840,128,no_cdw,manual,,,0.12742,2026-02-28T22:09:46
441643_2023_tava_chm_max_hag_20cm.tif,0,3904,128,no_cdw,manual,,,0.12474,2026-02-28T22:09:46
441643_2023_tava_chm_max_hag_20cm.tif,0,3968,128,no_cdw,manual,,,0.14046,2026-02-28T22:09:46
441643_2023_tava_chm_max_hag_20cm.tif,0,4032,128,no_cdw,manual,,,0.13737,2026-02-28T22:09:46
441643_2023_tava_chm_max_hag_20cm.tif,0,4416,128,no_cdw,manual,,,0.16125,2026-02-28T22:09:46
441643_2023_tava_chm_max_hag_20cm.tif,0,4608,128,no_cdw,manual,,,0.20006,2026-02-28T22:09:46
441643_2023_tava_chm_max_hag_20cm.tif,64,384,128,no_cdw,manual,,,0.15876,2026-02-28T22:09:46
441643_2023_tava_chm_max_hag_20cm.tif,64,1664,128,no_cdw,manual,,,0.15273,2026-02-28T22:09:46
441643_2023_tava_chm_max_hag_20cm.tif,64,3840,128,no_cdw,manual,,,0.10141,2026-02-28T22:09:47
441643_2023_tava_chm_max_hag_20cm.tif,64,3904,128,no_cdw,manual,,,0.12571,2026-02-28T22:09:47
441643_2023_tava_chm_max_hag_20cm.tif,64,3968,128,no_cdw,manual,,,0.13401,2026-02-28T22:09:47
441643_2023_tava_chm_max_hag_20cm.tif,64,4032,128,no_cdw,manual,,,0.15836,2026-02-28T22:09:47
441643_2023_tava_chm_max_hag_20cm.tif,64,4416,128,no_cdw,manual,,,0.12366,2026-02-28T22:09:47
441643_2023_tava_chm_max_hag_20cm.tif,64,4608,128,no_cdw,manual,,,0.16593,2026-02-28T22:09:47
441643_2023_tava_chm_max_hag_20cm.tif,64,4800,128,no_cdw,manual,,,0.11218,2026-02-28T22:09:47
441643_2023_tava_chm_max_hag_20cm.tif,64,4864,128,no_cdw,manual,,,0.13020,2026-02-28T22:09:47
441643_2023_tava_chm_max_hag_20cm.tif,128,64,128,no_cdw,manual,,,0.11028,2026-02-28T22:09:47
441643_2023_tava_chm_max_hag_20cm.tif,128,2880,128,no_cdw,manual,,,0.09787,2026-02-28T22:09:47
441643_2023_tava_chm_max_hag_20cm.tif,128,2944,128,no_cdw,manual,,,0.09853,2026-02-28T22:09:48
441643_2023_tava_chm_max_hag_20cm.tif,128,3904,128,no_cdw,manual,,,0.12539,2026-02-28T22:09:48
441643_2023_tava_chm_max_hag_20cm.tif,128,3968,128,no_cdw,manual,,,0.12781,2026-02-28T22:09:48
441643_2023_tava_chm_max_hag_20cm.tif,128,4032,128,no_cdw,manual,,,0.13316,2026-02-28T22:09:48
441643_2023_tava_chm_max_hag_20cm.tif,128,4096,128,no_cdw,manual,,,0.09321,2026-02-28T22:09:48
441643_2023_tava_chm_max_hag_20cm.tif,128,4416,128,no_cdw,manual,,,0.11040,2026-02-28T22:09:48
441643_2023_tava_chm_max_hag_20cm.tif,128,4480,128,no_cdw,manual,,,0.14482,2026-02-28T22:09:48
441643_2023_tava_chm_max_hag_20cm.tif,128,4544,128,no_cdw,manual,,,0.16432,2026-02-28T22:09:48
441643_2023_tava_chm_max_hag_20cm.tif,128,4608,128,no_cdw,manual,,,0.16676,2026-02-28T22:09:48
441643_2023_tava_chm_max_hag_20cm.tif,128,4672,128,no_cdw,manual,,,0.18777,2026-02-28T22:09:48
441643_2023_tava_chm_max_hag_20cm.tif,128,4736,128,no_cdw,manual,,,0.14659,2026-02-28T22:09:48
441643_2023_tava_chm_max_hag_20cm.tif,128,4800,128,no_cdw,manual,,,0.11284,2026-02-28T22:09:48
441643_2023_tava_chm_max_hag_20cm.tif,128,4864,128,no_cdw,manual,,,0.12200,2026-02-28T22:09:48
441643_2023_tava_chm_max_hag_20cm.tif,192,1216,128,no_cdw,manual,,,0.14332,2026-02-28T22:09:48
441643_2023_tava_chm_max_hag_20cm.tif,192,3840,128,no_cdw,manual,,,0.13047,2026-02-28T22:09:49
441643_2023_tava_chm_max_hag_20cm.tif,192,3904,128,no_cdw,manual,,,0.13335,2026-02-28T22:09:49
441643_2023_tava_chm_max_hag_20cm.tif,192,3968,128,no_cdw,manual,,,0.15289,2026-02-28T22:09:49
441643_2023_tava_chm_max_hag_20cm.tif,192,4032,128,no_cdw,manual,,,0.14049,2026-02-28T22:09:49
441643_2023_tava_chm_max_hag_20cm.tif,192,4096,128,no_cdw,manual,,,0.09724,2026-02-28T22:09:49
441643_2023_tava_chm_max_hag_20cm.tif,192,4352,128,no_cdw,manual,,,0.10056,2026-02-28T22:09:49
441643_2023_tava_chm_max_hag_20cm.tif,192,4416,128,no_cdw,manual,,,0.09948,2026-02-28T22:09:49
441643_2023_tava_chm_max_hag_20cm.tif,192,4544,128,no_cdw,manual,,,0.20790,2026-02-28T22:09:49
441643_2023_tava_chm_max_hag_20cm.tif,192,4608,128,no_cdw,manual,,,0.21884,2026-02-28T22:09:49
441643_2023_tava_chm_max_hag_20cm.tif,192,4672,128,no_cdw,manual,,,0.15304,2026-02-28T22:09:49
441643_2023_tava_chm_max_hag_20cm.tif,192,4736,128,no_cdw,manual,,,0.11098,2026-02-28T22:09:49
441643_2023_tava_chm_max_hag_20cm.tif,192,4800,128,no_cdw,manual,,,0.11382,2026-02-28T22:09:49
441643_2023_tava_chm_max_hag_20cm.tif,192,4864,128,no_cdw,manual,,,0.12110,2026-02-28T22:09:49
