image_path,row_off,col_off,width,height,minx,miny,maxx,maxy,tile_min,tile_max,tile_mean,tile_std
year2018_comp2_474657-474658-474659-474660-474661/images/tile_000000_000000.png,0,0,160,160,657000.0,6474967.99,657032.0,6474999.99,0.0,1.269745945930481,0.003953841497858676,0.016818047299065574
year2018_comp2_474657-474658-474659-474660-474661/images/tile_000000_000080.png,0,80,160,160,657016.0,6474967.99,657048.0,6474999.99,0.0,2.0,0.019578810779802683,0.16096221169043493
year2018_comp2_474657-474658-474659-474660-474661/images/tile_000000_000160.png,0,160,160,160,657032.0,6474967.99,657064.0,6474999.99,0.0,2.0,0.26582250546297614,0.6531521684773245
year2018_comp2_474657-474658-474659-474660-474661/images/tile_000000_000240.png,0,240,160,160,657048.0,6474967.99,657080.0,6474999.99,0.0,2.0,0.2828867945475898,0.6721743642544856
year2018_comp2_474657-474658-474659-474660-474661/images/tile_000000_000320.png,0,320,160,160,657064.0,6474967.99,657096.0,6474999.99,0.0,2.0,0.4186336020089182,0.7878564737289577
year2018_comp2_474657-474658-474659-474660-474661/images/tile_000000_000400.png,0,400,160,160,657080.0,6474967.99,657112.0,6474999.99,0.0,2.0,0.9105992752775177,0.9707467049340045
year2018_comp2_474657-474658-474659-474660-474661/images/tile_000000_000480.png,0,480,160,160,657096.0,6474967.99,657128.0,6474999.99,0.0,2.0,0.6357382773398398,0.9173427801023635
year2018_comp2_474657-474658-474659-474660-474661/images/tile_000000_000560.png,0,560,160,160,657112.0,6474967.99,657144.0,6474999.99,0.0,2.0,0.25056807260845254,0.6498468729494163
year2018_comp2_474657-474658-474659-474660-474661/images/tile_000000_000640.png,0,640,160,160,657128.0,6474967.99,657160.0,6474999.99,0.0,2.0,0.24397185130480106,0.6258153187685714
year2018_comp2_474657-474658-474659-474660-474661/images/tile_000000_000720.png,0,720,160,160,657144.0,6474967.99,657176.0,6474999.99,0.0,2.0,0.10654354167652347,0.3884344435586898
year2018_comp2_474657-474658-474659-474660-474661/images/tile_000000_000800.png,0,800,160,160,657160.0,6474967.99,657192.0,6474999.99,0.0,2.0,0.05277207711211714,0.26192678511769607
year2018_comp2_474657-474658-474659-474660-474661/images/tile_000000_000880.png,0,880,160,160,657176.0,6474967.99,657208.0,6474999.99,0.0,2.0,0.04110638658099623,0.23287868940737602
year2018_comp2_474657-474658-474659-474660-474661/images/tile_000000_000960.png,0,960,160,160,657192.0,6474967.99,657224.0,6474999.99,0.0,1.813772201538086,0.029765953655317475,0.17818994884984923
